,energy,valance,song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rms_mean,rms_std,rms_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
1,0.71,0.511,AJ Mitchell - Say It Again (Lyric Video)-8irY4TLLN-Q.wav,117.4538352,151621,1307.077586,0.34229061,0.303527117,0.092128709,0.49971503,0.290345252,0.084300362,0.250751959,0.143027229,0.020456788,21.37244225,157.8171387,24906.25,1.562337756,59.29147339,3515.47876,0.00323319,2.893611193,8.37298584,0.280798107,0.110524297,0.012215621,1119.66439,857.284948,734937.482,1339.087809,711.9356335,506852.3462,24.70501122,15.66224102,245.3057938,2297.706939,1863.634089,3473132.017,2.616131456,3.052276247,9.31639029,-0.011500161,0.073636528,0.005422338,0.04889653,0.053659143,0.002879304,-1.43E-05,0.247398317,0.061205924,-5.44E-05,0.109215662,0.01192806,2.678421769,1.081393824,1.169412602
2,0.668,0.608,"Alan Walker & Ava Max - Alone, Pt. II-HhjHYkPQ8F0.wav",117.4538352,89451,1005.067416,0.364377975,0.306119919,0.093709402,0.506221592,0.284352452,0.080856323,0.25731562,0.13085108,0.017122005,7.777045727,103.3843765,10688.33008,-1.472283959,50.12319565,2512.334717,0.009997982,2.458542109,6.044429779,0.151755765,0.109652333,0.012023634,1612.25312,559.6761522,313237.3953,1534.24416,353.4678375,124939.5122,24.74298346,15.37565038,236.4106245,3262.642771,1122.924822,1260960.155,1.746977957,2.310328261,5.337616676,-0.009648099,0.07578388,0.005743196,0.093679706,0.052665734,0.002773679,-2.84E-06,0.136337057,0.018587794,3.31E-06,0.097231105,0.009453887,7.623111111,6.955150114,48.37411311
3,0.693,0.55,Alesso - Sad Song (feat. TINI) _ Official Music Video-8ZnatzNRmjI.wav,112.3471467,139388,1407.959596,0.299973518,0.305902869,0.093576565,0.417524159,0.302515388,0.091515556,0.227087518,0.155102883,0.024056904,7.441569328,70.54017639,4975.916992,-2.903425455,62.1889534,3867.466064,0.013726448,3.303989887,10.91634846,0.144765899,0.106845573,0.011415976,1563.199869,930.2281966,865324.4977,1636.39853,703.1618468,494436.5828,24.34906316,16.4199778,269.6156709,3353.413056,1912.266241,3656762.177,1.522413238,2.23739652,5.00594319,0.010039191,0.072804519,0.005300498,0.069888088,0.057979096,0.003361576,-8.01E-06,0.145136267,0.021064537,-4.02E-05,0.063650429,0.004051378,10.63706122,2.56558854,6.582244557
4,0.743,0.571,Anne-Marie & James Arthur - Rewrite The Stars [from The Greatest Showman - Reimagined]-pRfmrE0ToTo.wav,129.1992188,157979,1305.61157,0.332029164,0.303947896,0.092384331,0.494528592,0.276839375,0.076640047,0.257706603,0.130079361,0.01692064,12.72831917,91.09768677,8298.789063,0.781262755,48.88607407,2389.848389,0.010724644,2.694192886,7.258675575,0.216922209,0.10287039,0.010582318,1847.902822,630.5265581,397563.7404,1833.477223,393.0150892,154460.8604,25.19343131,17.46720122,305.1031184,3953.201096,1346.286897,1812488.409,2.701493542,3.408255309,11.61620425,-0.003557003,0.073210142,0.005359725,0.0924248,0.048670359,0.002368804,-6.86E-07,0.168606997,0.028428318,-1.28E-05,0.120421574,0.014501356,4.840199546,1.550955226,2.405462114
5,0.844,0.675,Anne-Marie - Perfect To Me [Official Music Video]-2FtFwAaCjrM.wav,89.10290948,108947,1238.034091,0.345378727,0.314044625,0.098624028,0.45533517,0.288879931,0.083451614,0.255529175,0.13430627,0.018038174,0.702958882,5.066984653,25.67433357,-12.0822134,73.33266449,5377.679199,0.006765605,3.650130987,13.32345581,0.049606394,0.02656153,0.000705515,1682.876313,964.2495269,929777.1502,1659.672853,413.9161609,171326.5883,25.56470131,16.83029787,283.2589263,3326.559051,1618.830682,2620612.778,0.524169737,0.691440757,0.478090321,0.005729848,0.084020108,0.007059379,0.087305783,0.086326887,0.007452331,-1.54E-06,0.042543843,0.001809979,1.94E-06,0.02650791,0.000702669,2.364952381,1.36262313,1.856741793
6,0.824,0.925,AUSTN - In Betweenin' (Official Music Video)-b61eI56QjAs.wav,99.38401442,123679,1275.041237,0.319840491,0.304873437,0.092947818,0.454959154,0.288473427,0.083216913,0.245777382,0.151416022,0.022926812,19.75177383,116.8025284,13642.83105,1.802423716,46.77472687,2187.875,0.012537316,3.036689043,9.22148037,0.27792877,0.096867338,0.009383282,1481.516485,538.6843691,290180.8495,1616.861197,376.2261156,141546.0901,25.62247659,16.51178786,272.6391382,3215.355557,1180.065278,1392554.061,3.165283798,3.730086883,13.91354816,-0.001777662,0.085987857,0.007393911,0.067602577,0.033840638,0.001145189,4.20E-06,0.235304102,0.055368021,8.02E-05,0.114239343,0.013050628,2.036390023,1.055170028,1.113383789
7,0.656,0.607,Ava Max - So Am I [Official Music Video]-SxGLPVvNjvY.wav,129.1992188,164990,1386.470588,0.368610203,0.308492064,0.095167361,0.433750629,0.289534479,0.083830215,0.240578829,0.159546734,0.02545516,13.31281185,115.263031,13285.56641,2.376550674,51.25461197,2627.0354,0.007915848,2.9768641,8.861720085,0.213384598,0.120499939,0.014520234,1626.437317,686.3539437,471081.736,1644.584204,424.3409432,180065.2361,25.71930408,16.01874408,256.600162,3495.933027,1386.337928,1921932.851,2.367495521,3.067313384,9.408411398,-0.003672285,0.089844689,0.008072068,0.082675993,0.053580749,0.002870897,1.98E-05,0.192440003,0.037033156,2.73E-05,0.114456795,0.013100358,4.509315193,2.098493044,4.403673055
8,0.704,0.628,Ava Max - Sweet but Psycho [Official Music Video]-WXBHCQYxwr0.wav,129.1992188,152824,1543.676768,0.415698409,0.311847389,0.0972488,0.442210555,0.297180861,0.088316455,0.24027407,0.160005327,0.025601705,12.72168159,119.5071259,14281.95313,1.380832791,58.46743774,3418.441406,0.009219122,3.023015499,9.138623238,0.197003379,0.12916258,0.016682973,1474.079393,655.9640747,430288.8674,1676.250246,395.1000635,156104.0602,23.93901102,15.37850981,236.4985641,3280.780162,1442.192688,2079919.748,2.026665828,2.96165288,8.771387784,-0.014527333,0.088729416,0.007872909,0.060788181,0.051404392,0.002642412,-4.08E-06,0.177937835,0.031661876,-8.90E-05,0.120769553,0.014585285,13.17616327,4.951959384,24.52190174
9,0.718,0.247,Bebe Rexha - You Can't Stop The Girl (Official Music Video)-1DmwyNkmTJ0.wav,151.9990809,184265,1262.089041,0.266742855,0.289343297,0.083719544,0.468458295,0.262108028,0.068700612,0.250195511,0.143549785,0.020606541,9.046525955,49.97702408,2497.702881,-0.764257312,56.94536972,3242.775146,0.011914723,2.070435762,4.286704063,0.190327704,0.06380102,0.00407057,1280.192703,535.7497532,287027.7981,1312.991347,524.7402989,275352.3813,25.65337315,14.76346791,217.9599848,2515.105625,1282.137105,1643875.557,2.284775313,2.591476718,6.715751578,0.01256559,0.081390716,0.006624449,0.076130492,0.02973301,0.000884052,1.29E-06,0.167826384,0.028165696,6.13E-05,0.068167597,0.004646821,3.846385488,1.87420098,3.512629315
10,0.718,0.715,Benjamin ingrosso - All night long (unofficial)-dhXLYr0OrCk.wav,112.3471467,143057,1288.801802,0.434455365,0.312373579,0.097577244,0.49940753,0.291846007,0.085174084,0.256480919,0.132479703,0.017550872,3.578542948,34.39258194,1182.849609,0.676047087,62.56291199,3914.118164,0.014094605,3.453464031,11.92641449,0.109998226,0.058406722,0.003411345,1602.217567,804.5235781,647258.1877,1824.036345,561.7208715,315530.3375,24.27759376,17.32147885,300.0336297,3644.25713,1761.811752,3103980.651,1.116289807,1.442826276,2.081747664,-0.000896525,0.069063575,0.004769777,0.063454832,0.054019289,0.002918084,-5.87E-06,0.088441916,0.007821972,5.83E-05,0.061889846,0.003830353,3.689650794,1.880284486,3.535469747
